additive_name,smiles,concentration_wt,lifespan_h,coulombic_efficiency,her_overpotential_mV,composite_score
2-氨基-4-溴蒽醌-2-磺酸钠,Nc1c(S(=O)(=O)[O-])cc(Br)c2c1C(=O)c1ccccc1C2=O.[Na+],0.5,1080,0.9932,185.0,72.4
2-氨基-4-溴蒽醌-2-磺酸钠,Nc1c(S(=O)(=O)[O-])cc(Br)c2c1C(=O)c1ccccc1C2=O.[Na+],1.0,1420,0.9961,218.0,91.8
2-氨基-4-溴蒽醌-2-磺酸钠,Nc1c(S(=O)(=O)[O-])cc(Br)c2c1C(=O)c1ccccc1C2=O.[Na+],1.5,1510,0.9968,226.5,96.5
2-氨基-4-溴蒽醌-2-磺酸钠,Nc1c(S(=O)(=O)[O-])cc(Br)c2c1C(=O)c1ccccc1C2=O.[Na+],2.0,1360,0.9950,212.0,87.2
2-氨基-4-溴蒽醌-2-磺酸钠,Nc1c(S(=O)(=O)[O-])cc(Br)c2c1C(=O)c1ccccc1C2=O.[Na+],2.5,1150,0.9935,190.0,76.0
甘氨酸,NCC(=O)O,0.5,750,0.9895,155.0,60.2
甘氨酸,NCC(=O)O,1.0,910,0.9915,174.0,75.4
甘氨酸,NCC(=O)O,1.5,950,0.9922,179.0,78.9
甘氨酸,NCC(=O)O,2.0,890,0.9910,171.0,73.1
甘氨酸,NCC(=O)O,2.5,790,0.9898,160.0,63.5
柠檬酸,C(C(=O)O)C(CC(=O)O)(C(=O)O)O,0.5,1200,0.9940,188.0,78.5
柠檬酸,C(C(=O)O)C(CC(=O)O)(C(=O)O)O,1.0,1580,0.9970,210.0,94.2
柠檬酸,C(C(=O)O)C(CC(=O)O)(C(=O)O)O,1.5,1690,0.9980,216.0,98.5
柠檬酸,C(C(=O)O)C(CC(=O)O)(C(=O)O)O,2.0,1490,0.9962,205.0,89.6
柠檬酸,C(C(=O)O)C(CC(=O)O)(C(=O)O)O,2.5,1280,0.9945,192.0,81.3
