sample_id,cv_delta_Ep_V,cv_stripping_area_mC,cv_plating_area_mC,cv_coulombic_eff,tafel_E_corr_V,tafel_log_I_corr_A_cm2,tafel_polarization_res_ohm,xps_Zn2p_BE_shift_eV,xps_O1s_ZHS_area_ratio,xps_S2p_SO4_peak_area,raman_SO4_v1_FWHM_cm1,raman_water_hbond_area_ratio,raman_SO4_peak_shift_cm1,xrd_TC_002,xrd_I_002_to_I_101_ratio,xrd_FWHM_002_deg,sem_mean_grain_size_um,sem_surface_roughness_Ra_um,sem_dendrite_coverage_pct
Zn_Sample_001,0.27878305,0.5431849,0.7080288,0.81070596,0.11487881,1.0,0.46688837,0.5530157,0.38899544,0.74694854,0.52842015,0.59097177,0.05713339,0.08974605,0.4162094,0.3144745,0.0,0.9296591,0.5393921
Zn_Sample_002,0.5082375,0.21214259,0.53746516,0.5986548,0.34188074,0.16244256,0.49796104,0.3607658,0.42448446,0.50117034,0.7754617,0.7189984,0.14389223,1.0,0.2950958,0.69458175,0.27223113,0.29829586,0.7633779
Zn_Sample_003,0.73327816,0.61264426,0.46727395,0.48725426,0.35966498,0.2741449,0.16556437,0.7009138,0.51578987,0.2272435,1.0,0.33092552,0.5658754,0.8593934,0.58946735,0.534863,0.68611896,0.7449812,0.3084847
Zn_Sample_004,0.38027567,0.35651886,0.77719843,0.600015,0.2547902,0.44948974,0.46098208,0.2952032,0.5106764,0.31417885,0.7968292,0.49494,0.5216839,0.79510707,0.267005,1.0,0.44906414,0.4771442,0.65765184
Zn_Sample_005,0.48078173,0.43756533,0.87805104,0.0,0.40106803,0.29068598,0.48067668,1.0,0.08559372,0.64876086,0.32104445,0.38353187,0.31794292,0.79672843,0.31166127,0.3049813,0.31307995,0.08352213,0.41523564
Zn_Sample_006,0.48078644,0.3562387,0.85406727,0.51014745,0.53008103,0.014960695,0.15444857,0.26370823,0.16248964,0.31056586,0.51404357,0.5056411,0.36255586,0.55093247,0.0,0.2976967,0.60661316,0.23922344,0.3536849
Zn_Sample_007,1.0,1.0,0.4282398,0.6765854,0.86831254,0.44130415,0.9899555,0.29536682,0.41648632,0.537672,0.8405412,0.63993657,0.65330994,0.21135408,0.3118207,0.35340974,0.14412639,0.49999344,0.51443
Zn_Sample_008,0.7675649,0.51054543,0.5557129,1.0,0.47771397,0.14354615,0.5392113,0.10482952,0.41626793,0.496683,0.47238445,0.86609536,0.73165953,0.40667048,0.22621544,0.0,0.76167464,0.48647383,0.29687926
Zn_Sample_009,0.41340265,0.2366137,0.70975554,0.42398337,0.4966488,0.5479487,0.0,0.4716203,0.4164885,0.32945877,0.68707734,0.17484728,0.5012627,0.45061654,0.41995212,0.3704804,0.469122,0.75350136,0.40975317
Zn_Sample_010,0.70317686,0.7298669,0.86471355,0.340236,0.42088538,0.18116643,0.5983806,0.3049302,1.0,1.0,0.74875706,1.0,0.2594318,0.9297861,0.055549566,0.31637886,0.57695353,0.9658397,0.25876138
Zn_Sample_011,0.41513684,0.1938186,0.5148348,0.42874846,0.0,0.8313503,0.070147365,0.52629024,0.42625123,0.6378043,0.43150365,0.0,0.25443292,0.44605315,0.48226073,0.52722496,0.6308979,0.5794111,1.0
Zn_Sample_012,0.41447484,0.56887805,0.585429,0.83768636,0.43182373,0.21702033,0.6406497,0.46943972,0.5249707,0.0,0.59322965,0.4406975,0.67931545,0.23888738,0.8033903,0.57158643,0.12852612,1.0,0.5477803
Zn_Sample_013,0.61710715,0.0,0.3639946,0.6684013,0.51787066,0.33845246,0.7609539,0.34049886,0.31654957,0.53047514,0.0,0.6218677,0.59108925,0.43231547,0.2832227,0.9272939,0.016500846,0.18596588,0.3755164
Zn_Sample_014,0.0,0.16565914,0.34237933,0.4206678,1.0,0.6374511,0.12001606,0.1577452,0.4403248,0.32701555,0.41333297,0.5466373,0.5872464,0.71407384,0.44498393,0.7126876,0.78576374,0.098499455,0.58966714
Zn_Sample_015,0.053933512,0.56572944,0.8255053,0.72164565,0.3939765,0.09916403,0.69773716,0.0,0.27132812,0.6902173,0.5572372,0.325422,0.7460279,0.33932984,0.536384,0.35862312,0.52712697,0.54433525,0.7398075
Zn_Sample_016,0.3868276,0.7078104,0.9562756,0.6015492,0.50668913,0.48314184,0.5194412,0.25226167,0.45913216,0.846968,0.37168127,0.42690668,0.65294343,0.24014468,0.1905462,0.28409055,0.6169622,0.6632763,0.48772535
Zn_Sample_017,0.25782418,0.5590418,0.61276305,0.85305023,0.42995292,0.7674231,0.65197563,0.55991423,0.19133577,0.45823133,0.908688,0.357171,0.54478693,0.64913464,0.38869894,0.6063972,0.86058235,0.5505183,0.68346137
Zn_Sample_018,0.63780445,0.48374787,0.871445,0.37095067,0.17117546,0.0,1.0,0.40824893,0.28504327,0.5912229,0.33768097,0.33358204,0.22455125,0.64962554,0.3216776,0.18630475,0.46785778,0.0,0.71705705
Zn_Sample_019,0.2878334,0.49512807,0.7170605,0.47898558,0.6986729,0.4718657,0.30631018,0.06354366,0.24159133,0.51878524,0.5222826,0.68582785,0.42931247,0.36111692,0.3486394,0.91692877,0.7588486,0.535252,0.41517854
Zn_Sample_020,0.16983056,0.12622106,0.4749228,0.46038893,0.60946965,0.4916788,0.14169484,0.39858833,0.34075883,0.19784817,0.62870437,0.6453832,0.28268558,0.37489364,0.07273148,0.76577806,0.45468298,0.20642877,0.40455732
Zn_Sample_021,0.9674834,0.32524732,0.7170027,0.15122192,0.6183923,0.629106,0.09772657,0.4486794,0.731106,0.4055184,0.8730507,0.30823523,0.35599396,0.3779853,0.32545415,0.3835966,1.0,0.74054974,0.4750498
Zn_Sample_022,0.4831803,0.39324546,1.0,0.6589853,0.23034704,0.09756148,0.12159374,0.14899348,0.0,0.3718314,0.3366143,0.69806683,0.5167738,0.0,0.4754958,0.0952225,0.9164453,0.65855044,0.0
Zn_Sample_023,0.56716174,0.7914043,0.6214658,0.6488669,0.48840418,0.075574316,0.36080536,0.3939943,0.4464208,0.3290441,0.8211977,0.64536184,0.06061077,0.31804577,0.7775339,0.80621487,0.3680982,0.30507162,0.18439075
Zn_Sample_024,0.13988061,0.6042287,0.6164739,0.5750119,0.117964074,0.5606791,0.49624598,0.37144035,0.044501655,0.28499728,0.606236,0.6768342,1.0,0.27996373,0.62166643,0.46580812,0.7020179,0.42033306,0.85987806
Zn_Sample_025,0.39195424,0.051582538,0.0,0.50584346,0.57179844,0.50144774,0.4753719,0.08781003,0.24393953,0.5828913,0.42132765,0.6319804,0.0,0.47373167,1.0,0.7793108,0.4155722,0.27278486,0.9250565
