sample_id,additive_name,smiles,CV峰面积,Tafel斜率,XPS结合能偏移,Raman峰面积拟合值,XRD晶面相对强度,循环寿命_h,库仑效率_CE,HER过电位_mV
Zn_2M_001,2-氨基-4-溴蒽醌-2-磺酸钠,Nc1c(S(=O)(=O)[O-])cc(Br)c2c1C(=O)c1ccccc1C2=O.[Na+],3250.4,68.5,0.45,1820.5,2.45,1450.0,0.9965,225.4
Zn_2M_002,甘氨酸,NCC(=O)O,2980.2,74.2,0.28,1450.2,1.92,920.0,0.9912,175.2
Zn_2M_003,柠檬酸,C(C(=O)O)C(CC(=O)O)(C(=O)O)O,3410.8,62.1,0.36,1960.8,2.78,1680.0,0.9978,210.6
Zn_2M_004,硫脲,NC(=S)N,2840.6,82.4,0.52,1320.4,1.65,680.0,0.9880,140.5
Zn_2M_005,D-葡萄糖,C(C1C(C(C(C(O1)O)O)O)O)O,3120.5,71.0,0.31,1680.1,2.15,1120.0,0.9935,185.0
Zn_2M_006,L-抗坏血酸,C1=C(C(=O)OC1C(CO)O)O,3305.0,65.8,0.39,1790.6,2.38,1380.0,0.9950,202.3
Zn_2M_007,聚乙二醇二甲醚单体,COCCOC,2910.3,78.6,0.22,1380.0,1.81,810.0,0.9895,160.8
Zn_2M_008,无水烟酰胺,NC(=O)c1cccnc1,3045.7,73.1,0.34,1595.4,2.06,1040.0,0.9928,180.4
Zn_2M_009,聚乙烯吡咯烷酮单体,C1CC(=O)N(C1)C=C,3180.2,69.4,0.37,1720.0,2.22,1250.0,0.9942,192.1
Zn_2M_010,尿素,NC(=O)N,2890.5,77.8,0.25,1360.2,1.75,760.0,0.9890,152.0
Zn_2M_011,甜菜碱,C[N+](C)(C)CC(=O)[O-],3150.0,70.2,0.33,1690.4,2.18,1180.0,0.9938,188.5
Zn_2M_012,丁二酸,C(CC(=O)O)C(=O)O,3260.4,66.9,0.38,1810.5,2.40,1320.0,0.9948,198.2
Zn_2M_013,乙酰丙酮,CC(=O)CC(=O)C,2940.8,76.2,0.27,1420.1,1.88,860.0,0.9902,166.4
Zn_2M_014,季戊四醇,C(C(CO)(CO)CO)O,3210.6,68.0,0.35,1760.3,2.30,1290.0,0.9945,195.0
Zn_2M_015,谷氨酸,C(CC(=O)O)C(C(=O)O)N,3090.2,72.5,0.30,1610.8,2.10,1080.0,0.9930,182.6
Zn_2M_016,丙氨酸,CC(C(=O)O)N,2960.0,75.0,0.26,1440.0,1.85,890.0,0.9908,170.0
Zn_2M_017,麦芽糖,C(C1C(C(C(C(O1)OC2C(OC(C(C2O)O)O)CO)O)O)O)O,3170.5,69.8,0.34,1710.2,2.20,1220.0,0.9940,190.5
Zn_2M_018,邻菲罗啉,c1cnc2c(c1)ccc3c2nccc3,3280.0,66.0,0.40,1835.0,2.42,1410.0,0.9958,215.0
Zn_2M_019,三氟甲磺酸根单体,C(F)(F)(F)S(=O)(=O)[O-],3350.2,64.2,0.42,1890.0,2.55,1520.0,0.9968,220.0
Zn_2M_020,苯甲酸钠,c1ccccc1C(=O)[O-].[Na+],3020.1,73.8,0.29,1540.6,2.02,990.0,0.9920,178.0
